#,Player,GS,MIN,FG MADE,FG_ATT,FG%,3PT MADE,3PT_ATT,3PT%,FT MADE,FT_ATT,FT%,PTS,ORB,DRB,REB,STL,BLK,A,TO,PF,Opponent,Date
13,Keeley Wright,-,8,1,2,0.5,0,0,0.0,2,3,0.6666666666666666,4,0,0,0,0,0,1,0,0,Lewis-Clark State,2025-03-04
32,Eliza DiGiulio,-,14,1,4,0.25,0,1,0.0,0,0,0.0,2,0,1,1,2,0,1,4,0,Lewis-Clark State,2025-03-04
5,Makayla Scurlock,-,8,1,4,0.25,0,0,0.0,0,0,0.0,2,0,3,3,2,0,2,0,0,Lewis-Clark State,2025-03-04
20,Morgan Baird,*,16,7,14,0.5,1,2,0.5,8,8,1.0,23,1,3,4,0,0,0,1,0,Xavier (LA),2025-03-20
10,Bridgette Mcintyre,*,32,5,10,0.5,4,7,0.5714285714285714,0,0,0.0,14,1,3,4,3,0,2,1,0,Xavier (LA),2025-03-20
12,Emma Schmerbach,*,30,4,12,0.3333333333333333,0,1,0.0,6,6,1.0,14,1,1,2,0,0,0,2,3,Xavier (LA),2025-03-20
1,Meghan Mcintyre,*,34,2,11,0.18181818181818182,0,0,0.0,1,4,0.25,5,1,4,5,2,0,8,4,3,Xavier (LA),2025-03-20
23,Clara Robbins,*,23,0,5,0.0,0,0,0.0,0,0,0.0,0,0,5,5,1,0,0,0,3,Xavier (LA),2025-03-20
22,Sierra Scheppele,-,25,2,4,0.5,2,3,0.6666666666666666,0,0,0.0,6,0,1,1,2,0,0,2,0,Xavier (LA),2025-03-20
32,Eliza Digiulio,-,11,1,2,0.5,0,0,0.0,2,2,1.0,4,1,2,3,1,0,1,0,2,Xavier (LA),2025-03-20
13,Keeley Wright,-,9,0,1,0.0,0,0,0.0,1,2,0.5,1,1,4,5,0,0,1,0,1,Xavier (LA),2025-03-20
5,Makayla Scurlock,-,14,0,1,0.0,0,0,0.0,0,0,0.0,0,0,1,1,0,0,0,0,1,Xavier (LA),2025-03-20
33,Mallory Williams,-,6,0,1,0.0,0,1,0.0,0,0,0.0,0,0,2,2,0,0,0,0,0,Xavier (LA),2025-03-20
1,Meghan McIntyre,*,32,7,14,0.5,1,2,0.5,0,1,0.0,15,1,1,2,2,0,6,3,4,Bethel (TN),2025-03-22
12,Emma Schmerbach,*,23,5,9,0.5555555555555556,0,1,0.0,1,4,0.25,11,0,2,2,2,0,1,0,5,Bethel (TN),2025-03-22
10,Bridgette McIntyre,*,32,4,12,0.3333333333333333,2,8,0.25,0,0,0.0,10,1,4,5,1,0,3,0,1,Bethel (TN),2025-03-22
20,Morgan Baird,*,15,5,8,0.625,0,1,0.0,0,0,0.0,10,4,3,7,2,0,2,0,2,Bethel (TN),2025-03-22
23,Clara Robbins,*,25,1,6,0.16666666666666666,0,0,0.0,0,0,0.0,2,3,4,7,1,2,0,1,4,Bethel (TN),2025-03-22
32,Eliza DiGiulio,-,22,4,8,0.5,0,3,0.0,0,0,0.0,8,0,4,4,0,0,0,0,0,Bethel (TN),2025-03-22
5,Makayla Scurlock,-,15,2,3,0.6666666666666666,1,1,1.0,0,0,0.0,5,0,5,5,0,0,0,0,0,Bethel (TN),2025-03-22
22,Sierra Scheppele,-,14,1,5,0.2,1,4,0.25,0,0,0.0,3,0,2,2,0,0,0,3,1,Bethel (TN),2025-03-22
33,Mallory Williams,-,14,1,5,0.2,1,5,0.2,0,0,0.0,3,1,1,2,0,0,0,0,2,Bethel (TN),2025-03-22
13,Keeley Wright,-,8,1,1,1.0,0,0,0.0,1,1,1.0,3,0,0,0,0,0,1,2,0,Bethel (TN),2025-03-22
10,Bridgette McIntyre,*,24,5,11,0.45454545454545453,5,10,0.5,0,0,0.0,15,0,4,4,0,0,2,2,1,Northwest,2025-01-04
20,Morgan Baird,*,19,6,11,0.5454545454545454,0,1,0.0,2,3,0.6666666666666666,14,2,1,3,0,0,3,1,0,Northwest,2025-01-04
1,Meghan McIntyre,*,22,4,9,0.4444444444444444,1,1,1.0,2,3,0.6666666666666666,11,1,6,7,3,0,4,2,0,Northwest,2025-01-04
12,Emma Schmerbach,*,16,3,6,0.5,0,1,0.0,0,0,0.0,6,1,2,3,1,0,1,0,3,Northwest,2025-01-04
23,Clara Robbins,*,12,2,2,1.0,0,0,0.0,0,0,0.0,4,0,2,2,0,1,0,0,2,Northwest,2025-01-04
22,Sierra Scheppele,-,20,2,7,0.2857142857142857,2,7,0.2857142857142857,2,2,1.0,8,0,2,2,0,0,1,1,0,Northwest,2025-01-04
32,Eliza DiGiulio,-,17,3,6,0.5,0,1,0.0,0,0,0.0,6,2,1,3,1,1,1,2,2,Northwest,2025-01-04
13,Keeley Wright,-,18,2,3,0.6666666666666666,0,0,0.0,1,2,0.5,5,0,1,1,4,0,2,2,1,Northwest,2025-01-04
34,Shakia Teague-Perry,-,8,1,1,1.0,0,0,0.0,2,4,0.5,4,0,2,2,0,0,0,1,0,Northwest,2025-01-04
33,Mallory Williams,-,15,1,3,0.3333333333333333,1,2,0.5,0,0,0.0,3,0,5,5,0,0,0,2,1,Northwest,2025-01-04
5,Makayla Scurlock,-,18,1,3,0.3333333333333333,0,1,0.0,0,0,0.0,2,0,5,5,1,1,3,0,1,Northwest,2025-01-04
21,Jenika Zurita,-,7,0,2,0.0,0,2,0.0,1,2,0.5,1,0,0,0,0,0,0,0,0,Northwest,2025-01-04
24,Ali Stevens,-,4,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,Northwest,2025-01-04
20,Morgan Baird,*,22,10,11,0.9090909090909091,1,1,1.0,0,0,0.0,21,0,2,2,1,0,4,0,3,Multnomah,2025-01-10
12,Emma Schmerbach,*,32,7,12,0.5833333333333334,0,1,0.0,4,8,0.5,18,3,4,7,2,1,1,0,2,Multnomah,2025-01-10
10,Bridgette McIntyre,*,28,4,7,0.5714285714285714,3,5,0.6,3,3,1.0,14,1,2,3,2,0,2,0,2,Multnomah,2025-01-10
23,Clara Robbins,*,25,2,3,0.6666666666666666,0,0,0.0,3,4,0.75,7,1,3,4,1,0,3,2,2,Multnomah,2025-01-10
1,Meghan McIntyre,*,28,0,1,0.0,0,1,0.0,2,3,0.6666666666666666,2,0,3,3,2,0,4,0,2,Multnomah,2025-01-10
22,Sierra Scheppele,-,13,4,8,0.5,3,7,0.42857142857142855,0,0,0.0,11,0,1,1,0,0,0,0,2,Multnomah,2025-01-10
32,Eliza DiGiulio,-,15,3,6,0.5,0,1,0.0,3,4,0.75,9,3,1,4,1,0,2,2,1,Multnomah,2025-01-10
33,Mallory Williams,-,7,2,4,0.5,2,4,0.5,2,2,1.0,8,0,3,3,0,0,0,0,3,Multnomah,2025-01-10
13,Keeley Wright,-,9,0,2,0.0,0,0,0.0,3,4,0.75,3,0,1,1,3,0,2,1,2,Multnomah,2025-01-10
5,Makayla Scurlock,-,12,1,1,1.0,0,0,0.0,0,0,0.0,2,0,5,5,1,0,4,0,2,Multnomah,2025-01-10
21,Jenika Zurita,-,5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,1,1,1,0,1,0,0,Multnomah,2025-01-10
24,Ali Stevens,-,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,Multnomah,2025-01-10
1,Meghan McIntyre,*,27,6,11,0.5454545454545454,1,2,0.5,5,5,1.0,18,2,2,4,2,0,1,2,1,Warner Pacific (OR),2025-01-11
