#,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Opponent,Date
33,Mallory Williams,-,6,0-1,0-1,0-0,0-2,2,0,0,0,0,0,0,Xavier (LA),03/20/25
01,Meghan McIntyre,*,32,7-14,1-2,0-1,1-1,2,4,6,3,0,2,15,Bethel (TN),03/22/25
12,Emma Schmerbach,*,23,5-9,0-1,1-4,0-2,2,5,1,0,0,2,11,Bethel (TN),03/22/25
10,Bridgette McIntyre,*,32,4-12,2-8,0-0,1-4,5,1,3,0,0,1,10,Bethel (TN),03/22/25
20,Morgan Baird,*,15,5-8,0-1,0-0,4-3,7,2,2,0,0,2,10,Bethel (TN),03/22/25
23,Clara Robbins,*,25,1-6,0-0,0-0,3-4,7,4,0,1,2,1,2,Bethel (TN),03/22/25
32,Eliza DiGiulio,-,22,4-8,0-3,0-0,0-4,4,0,0,0,0,0,8,Bethel (TN),03/22/25
05,Makayla Scurlock,-,15,2-3,1-1,0-0,0-5,5,0,0,0,0,0,5,Bethel (TN),03/22/25
22,Sierra Scheppele,-,14,1-5,1-4,0-0,0-2,2,1,0,3,0,0,3,Bethel (TN),03/22/25
33,Mallory Williams,-,14,1-5,1-5,0-0,1-1,2,2,0,0,0,0,3,Bethel (TN),03/22/25
13,Keeley Wright,-,8,1-1,0-0,1-1,0-0,0,0,1,2,0,0,3,Bethel (TN),03/22/25
10,Bridgette McIntyre,*,24,5-11,5-10,0-0,0-4,4,1,2,2,0,0,15,Northwest,01/04/25
20,Morgan Baird,*,19,6-11,0-1,2-3,2-1,3,0,3,1,0,0,14,Northwest,01/04/25
1,Meghan McIntyre,*,22,4-9,1-1,2-3,1-6,7,0,4,2,0,3,11,Northwest,01/04/25
12,Emma Schmerbach,*,16,3-6,0-1,0-0,1-2,3,3,1,0,0,1,6,Northwest,01/04/25
23,Clara Robbins,*,12,2-2,0-0,0-0,0-2,2,2,0,0,1,0,4,Northwest,01/04/25
22,Sierra Scheppele,-,20,2-7,2-7,2-2,0-2,2,0,1,1,0,0,8,Northwest,01/04/25
32,Eliza DiGiulio,-,17,3-6,0-1,0-0,2-1,3,2,1,2,1,1,6,Northwest,01/04/25
13,Keeley Wright,-,18,2-3,0-0,1-2,0-1,1,1,2,2,0,4,5,Northwest,01/04/25
34,Shakia Teague-Perry,-,8,1-1,0-0,2-4,0-2,2,0,0,1,0,0,4,Northwest,01/04/25
33,Mallory Williams,-,15,1-3,1-2,0-0,0-5,5,1,0,2,0,0,3,Northwest,01/04/25
5,Makayla Scurlock,-,18,1-3,0-1,0-0,0-5,5,1,3,0,1,1,2,Northwest,01/04/25
21,Jenika Zurita,-,7,0-2,0-2,1-2,0-0,0,0,0,0,0,0,1,Northwest,01/04/25
24,Ali Stevens,-,4,0-2,0-1,0-0,0-0,0,1,0,0,0,0,0,Northwest,01/04/25
20,Morgan Baird,*,22,10-11,1-1,0-0,0-2,2,3,4,0,0,1,21,Multnomah,01/10/25
12,Emma Schmerbach,*,32,7-12,0-1,4-8,3-4,7,2,1,0,1,2,18,Multnomah,01/10/25
10,Bridgette McIntyre,*,28,4-7,3-5,3-3,1-2,3,2,2,0,0,2,14,Multnomah,01/10/25
23,Clara Robbins,*,25,2-3,0-0,3-4,1-3,4,2,3,2,0,1,7,Multnomah,01/10/25
1,Meghan McIntyre,*,28,0-1,0-1,2-3,0-3,3,2,4,0,0,2,2,Multnomah,01/10/25
22,Sierra Scheppele,-,13,4-8,3-7,0-0,0-1,1,2,0,0,0,0,11,Multnomah,01/10/25
32,Eliza DiGiulio,-,15,3-6,0-1,3-4,3-1,4,1,2,2,0,1,9,Multnomah,01/10/25
33,Mallory Williams,-,7,2-4,2-4,2-2,0-3,3,3,0,0,0,0,8,Multnomah,01/10/25
13,Keeley Wright,-,9,0-2,0-0,3-4,0-1,1,2,2,1,0,3,3,Multnomah,01/10/25
5,Makayla Scurlock,-,12,1-1,0-0,0-0,0-5,5,2,4,0,0,1,2,Multnomah,01/10/25
21,Jenika Zurita,-,5,0-1,0-1,0-0,0-1,1,0,1,0,0,1,0,Multnomah,01/10/25
24,Ali Stevens,-,4,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Multnomah,01/10/25
1,Meghan McIntyre,*,27,6-11,1-2,5-5,2-2,4,1,1,2,0,2,18,Warner Pacific (OR),01/11/25
20,Morgan Baird,*,27,7-13,0-0,2-2,1-4,5,0,1,0,0,0,16,Warner Pacific (OR),01/11/25
12,Emma Schmerbach,*,25,6-8,0-1,3-5,2-4,6,3,8,2,2,3,15,Warner Pacific (OR),01/11/25
23,Clara Robbins,*,15,2-4,0-0,0-0,1-3,4,1,0,0,2,2,4,Warner Pacific (OR),01/11/25
10,Bridgette McIntyre,*,23,0-7,0-5,0-0,0-1,1,1,1,1,0,0,0,Warner Pacific (OR),01/11/25
32,Eliza DiGiulio,-,18,5-6,1-1,2-2,1-1,2,0,1,1,0,2,13,Warner Pacific (OR),01/11/25
22,Sierra Scheppele,-,15,4-6,2-4,0-0,0-0,0,1,1,0,0,0,10,Warner Pacific (OR),01/11/25
33,Mallory Williams,-,16,2-2,2-2,0-0,0-0,0,0,0,1,0,0,6,Warner Pacific (OR),01/11/25
13,Keeley Wright,-,13,1-3,0-0,1-2,0-0,0,1,4,1,0,0,3,Warner Pacific (OR),01/11/25
5,Makayla Scurlock,-,11,1-3,0-1,0-0,1-2,3,4,0,0,0,2,2,Warner Pacific (OR),01/11/25
21,Jenika Zurita,-,8,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Warner Pacific (OR),01/11/25
24,Ali Stevens,-,2,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Warner Pacific (OR),01/11/25
10,Bridgette Mcintyre,*,35,4-9,4-7,2-2,0-4,4,3,3,1,0,0,14,Oregon Tech,12/14/24
12,Emma Schmerbach,*,32,5-11,0-1,3-3,2-5,7,2,3,3,3,1,13,Oregon Tech,12/14/24
20,Morgan Baird,*,28,5-9,0-1,0-2,1-2,3,2,3,2,2,1,10,Oregon Tech,12/14/24
01,Meghan Mcintyre,*,26,2-6,0-1,3-6,0-3,3,2,3,5,0,1,7,Oregon Tech,12/14/24
23,Clara Robbins,*,13,1-1,0-0,0-0,0-5,5,2,0,1,1,1,2,Oregon Tech,12/14/24
32,Eliza Digiulio,-,30,2-5,1-2,4-4,2-2,4,2,0,1,0,2,9,Oregon Tech,12/14/24
33,Mallory Williams,-,5,2-2,2-2,0-0,0-1,1,1,0,0,0,0,6,Oregon Tech,12/14/24
13,Keeley Wright,-,10,1-1,0-0,2-3,1-2,3,0,1,3,0,0,4,Oregon Tech,12/14/24
22,Sierra Scheppele,-,12,0-1,0-1,0-0,0-2,2,0,0,0,0,0,0,Oregon Tech,12/14/24
05,Makayla Scurlock,-,9,0-2,0-2,0-0,0-1,1,1,1,0,0,0,0,Oregon Tech,12/14/24
1,Meghan McIntyre,*,26,7-9,2-2,1-4,1-3,4,0,4,2,0,5,17,Bushnell (OR),02/07/25
12,Emma Schmerbach,*,24,8-12,1-1,0-0,3-6,9,3,1,3,3,2,17,Bushnell (OR),02/07/25
20,Morgan Baird,*,23,5-11,0-1,0-0,2-0,2,0,3,1,1,0,10,Bushnell (OR),02/07/25
23,Clara Robbins,*,20,1-2,0-0,0-0,1-2,3,0,2,0,1,1,2,Bushnell (OR),02/07/25
10,Bridgette McIntyre,*,26,0-6,0-4,0-0,0-4,4,0,1,0,0,1,0,Bushnell (OR),02/07/25
32,Eliza DiGiulio,-,22,4-9,0-1,0-0,0-2,2,1,3,0,0,1,8,Bushnell (OR),02/07/25
22,Sierra Scheppele,-,12,1-6,1-5,2-2,0-1,1,1,0,0,0,0,5,Bushnell (OR),02/07/25
33,Mallory Williams,-,15,1-5,0-0,2-2,3-1,4,0,1,0,1,0,4,Bushnell (OR),02/07/25
13,Keeley Wright,-,14,2-2,0-0,0-0,1-4,5,0,2,1,0,1,4,Bushnell (OR),02/07/25
5,Makayla Scurlock,-,14,0-0,0-0,0-0,0-4,4,0,1,0,0,0,0,Bushnell (OR),02/07/25
21,Jenika Zurita,-,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Bushnell (OR),02/07/25
24,Ali Stevens,-,2,0-0,0-0,0-0,0-0,0,3,0,1,0,0,0,Bushnell (OR),02/07/25
1,Meghan McIntyre,*,24,5-11,0-3,3-4,2-3,5,1,5,0,0,7,13,Life Pacific,11/23/24
12,Emma Schmerbach,*,15,5-7,2-2,0-2,3-2,5,2,0,1,0,2,12,Life Pacific,11/23/24
22,Sierra Scheppele,*,14,4-7,4-6,0-0,0-4,4,1,0,0,0,1,12,Life Pacific,11/23/24
10,Bridgette McIntyre,*,25,3-6,2-4,2-2,3-4,7,1,1,0,0,3,10,Life Pacific,11/23/24
