#,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Opponent,Date
32,Eliza DiGiulio,-,13,1-2,0-1,4-4,1-1,2,3,0,1,0,0,6,Corban (OR),12/20/24
33,Mallory Williams,-,18,1-6,1-5,0-0,0-1,1,2,0,0,1,0,3,Corban (OR),12/20/24
24,Ali Stevens,-,3,1-1,0-0,1-2,3-0,3,1,0,0,0,0,3,Corban (OR),12/20/24
5,Makayla Scurlock,-,14,1-2,0-0,0-0,0-1,1,1,1,0,0,2,2,Corban (OR),12/20/24
34,Shakia Teague-Perry,-,8,1-3,0-0,0-0,0-0,0,1,0,0,0,1,2,Corban (OR),12/20/24
21,Jenika Zurita,-,7,0-2,0-1,0-0,0-2,2,1,2,0,0,0,0,Corban (OR),12/20/24
20,Morgan Baird,*,26,7-14,1-3,3-4,0-1,1,1,1,2,0,1,18,Evergreen (WA),02/26/25
10,Bridgette McIntyre,*,27,5-9,5-8,2-2,1-8,9,0,3,1,0,1,17,Evergreen (WA),02/26/25
12,Emma Schmerbach,*,27,4-9,0-0,8-8,0-5,5,0,0,4,0,2,16,Evergreen (WA),02/26/25
1,Meghan McIntyre,*,28,3-5,0-1,1-4,2-7,9,2,4,3,1,2,7,Evergreen (WA),02/26/25
23,Clara Robbins,*,17,0-1,0-0,0-0,1-4,5,3,0,1,2,1,0,Evergreen (WA),02/26/25
33,Mallory Williams,-,15,2-3,2-3,2-2,1-1,2,0,1,0,2,1,8,Evergreen (WA),02/26/25
13,Keeley Wright,-,12,3-5,0-0,0-0,1-1,2,1,2,1,0,4,6,Evergreen (WA),02/26/25
22,Sierra Scheppele,-,13,1-2,1-2,0-0,0-1,1,0,0,0,0,0,3,Evergreen (WA),02/26/25
5,Makayla Scurlock,-,14,1-2,0-1,0-0,0-1,1,1,1,1,0,1,2,Evergreen (WA),02/26/25
32,Eliza DiGiulio,-,17,0-5,0-1,0-0,0-2,2,1,1,1,0,0,0,Evergreen (WA),02/26/25
34,Shakia Teague-Perry,-,4,0-0,0-0,0-0,0-0,0,1,1,0,0,0,0,Evergreen (WA),02/26/25
20,Morgan Baird,*,27,12-15,2-3,5-5,1-1,2,2,2,2,0,2,31,Multnomah,02/22/25
23,Clara Robbins,*,25,4-6,0-1,6-6,1-2,3,1,2,1,1,1,14,Multnomah,02/22/25
1,Meghan McIntyre,*,31,4-9,1-2,0-0,4-4,8,1,7,4,0,4,9,Multnomah,02/22/25
12,Emma Schmerbach,*,25,4-9,0-0,1-5,3-4,7,5,5,3,0,2,9,Multnomah,02/22/25
5,Makayla Scurlock,*,24,1-4,0-3,3-4,0-4,4,4,0,1,0,0,5,Multnomah,02/22/25
10,Bridgette McIntyre,-,23,4-8,2-5,0-0,1-4,5,1,1,0,0,2,10,Multnomah,02/22/25
32,Eliza DiGiulio,-,14,1-3,0-1,3-4,1-2,3,2,0,3,0,0,5,Multnomah,02/22/25
33,Mallory Williams,-,12,0-5,0-4,2-2,0-3,3,0,0,0,1,0,2,Multnomah,02/22/25
13,Keeley Wright,-,9,0-0,0-0,2-2,0-1,1,1,3,1,1,1,2,Multnomah,02/22/25
22,Sierra Scheppele,-,10,0-1,0-1,0-0,0-0,0,0,1,1,0,0,0,Multnomah,02/22/25
20,Morgan Baird,*,17,9-13,0-0,0-0,1-4,5,0,2,0,1,0,18,UC Merced,11/16/24
12,Emma Schmerbach,*,21,6-12,1-2,0-0,1-3,4,0,1,0,0,0,13,UC Merced,11/16/24
10,Bridgette Mcintyre,*,23,3-8,2-6,0-0,2-4,6,0,3,0,0,0,8,UC Merced,11/16/24
01,Meghan Mcintyre,*,23,1-5,0-2,1-2,0-3,3,1,3,2,0,5,3,UC Merced,11/16/24
23,Clara Robbins,*,17,0-2,0-0,1-1,2-5,7,1,0,1,2,0,1,UC Merced,11/16/24
13,Keeley Wright,-,17,5-9,0-0,1-1,1-2,3,2,2,2,0,0,11,UC Merced,11/16/24
32,Eliza Digiulio,-,13,3-7,0-1,1-1,1-1,2,0,2,1,0,1,7,UC Merced,11/16/24
22,Sierra Scheppele,-,16,2-5,2-4,0-0,0-2,2,2,1,0,0,1,6,UC Merced,11/16/24
33,Mallory Williams,-,13,2-8,1-5,0-0,0-3,3,2,0,0,0,0,5,UC Merced,11/16/24
34,Shakia Teague-perry,-,13,2-4,0-0,0-0,0-2,2,3,0,0,0,0,4,UC Merced,11/16/24
05,Makayla Scurlock,-,12,0-1,0-0,0-0,0-3,3,0,0,0,0,1,0,UC Merced,11/16/24
21,Jenika Zurita,-,10,0-2,0-2,0-0,1-1,2,0,0,0,0,1,0,UC Merced,11/16/24
24,Ali Stevens,-,5,0-0,0-0,0-0,0-0,0,2,0,0,0,0,0,UC Merced,11/16/24
12,Emma Schmerbach,*,28,7-11,0-1,0-2,4-5,9,2,2,2,1,1,14,Corban (OR),02/08/25
20,Morgan Baird,*,28,5-11,0-0,4-5,2-2,4,0,3,1,0,0,14,Corban (OR),02/08/25
10,Bridgette McIntyre,*,30,4-8,4-8,0-0,0-2,2,2,1,2,0,1,12,Corban (OR),02/08/25
1,Meghan McIntyre,*,32,2-10,0-1,6-10,2-5,7,0,4,2,0,3,10,Corban (OR),02/08/25
23,Clara Robbins,*,11,0-1,0-0,0-2,0-1,1,4,0,0,1,3,0,Corban (OR),02/08/25
32,Eliza DiGiulio,-,24,5-8,1-2,1-2,1-1,2,1,3,0,1,1,12,Corban (OR),02/08/25
33,Mallory Williams,-,12,2-2,2-2,0-0,0-2,2,1,0,1,0,0,6,Corban (OR),02/08/25
5,Makayla Scurlock,-,12,1-3,0-0,0-0,0-4,4,1,0,1,0,1,2,Corban (OR),02/08/25
22,Sierra Scheppele,-,15,0-1,0-1,0-0,0-1,1,0,1,1,0,0,0,Corban (OR),02/08/25
13,Keeley Wright,-,8,0-1,0-0,0-0,1-0,1,1,1,0,0,0,0,Corban (OR),02/08/25
12,Emma Schmerbach,*,18,7-11,1-1,0-0,4-2,6,3,3,2,1,0,15,Warner Pacific (OR),02/21/25
1,Meghan McIntyre,*,21,5-9,1-2,0-1,2-5,7,1,3,0,0,2,11,Warner Pacific (OR),02/21/25
33,Mallory Williams,*,16,2-5,1-3,0-0,2-4,6,0,1,1,2,0,5,Warner Pacific (OR),02/21/25
23,Clara Robbins,*,17,0-3,0-0,0-0,3-5,8,0,3,1,5,2,0,Warner Pacific (OR),02/21/25
22,Sierra Scheppele,*,14,0-5,0-5,0-0,0-1,1,2,2,0,0,0,0,Warner Pacific (OR),02/21/25
20,Morgan Baird,-,17,7-8,1-1,2-3,1-0,1,0,2,1,0,3,17,Warner Pacific (OR),02/21/25
10,Bridgette McIntyre,-,18,4-8,4-8,0-0,0-1,1,3,1,1,0,1,12,Warner Pacific (OR),02/21/25
32,Eliza DiGiulio,-,18,3-6,1-1,4-4,1-1,2,0,0,0,0,1,11,Warner Pacific (OR),02/21/25
13,Keeley Wright,-,20,2-5,0-0,1-2,1-0,1,2,7,1,0,1,5,Warner Pacific (OR),02/21/25
21,Jenika Zurita,-,8,1-2,1-2,1-2,1-2,3,1,0,0,0,0,4,Warner Pacific (OR),02/21/25
34,Shakia Teague-Perry,-,10,1-4,0-0,1-2,0-3,3,4,0,0,1,1,3,Warner Pacific (OR),02/21/25
24,Ali Stevens,-,8,1-4,0-1,0-0,0-1,1,0,0,0,0,1,2,Warner Pacific (OR),02/21/25
5,Makayla Scurlock,-,15,0-2,0-1,0-0,0-4,4,1,0,0,0,1,0,Warner Pacific (OR),02/21/25
20,Morgan Baird,*,18,9-11,0-0,2-3,2-4,6,0,2,0,0,0,20,Cal Maritime,11/15/24
12,Emma Schmerbach,*,19,7-8,0-0,2-2,1-2,3,1,1,0,0,2,16,Cal Maritime,11/15/24
01,Meghan Mcintyre,*,21,4-12,0-2,4-6,1-1,2,1,5,1,0,4,12,Cal Maritime,11/15/24
10,Bridgette Mcintyre,*,20,3-6,3-5,2-2,0-0,0,2,3,0,0,4,11,Cal Maritime,11/15/24
23,Clara Robbins,*,16,1-2,0-0,0-0,0-4,4,1,0,1,1,0,2,Cal Maritime,11/15/24
33,Mallory Williams,-,13,3-6,1-3,2-2,1-2,3,0,0,1,0,0,9,Cal Maritime,11/15/24
05,Makayla Scurlock,-,15,2-3,1-2,3-4,0-1,1,0,2,0,0,0,8,Cal Maritime,11/15/24
22,Sierra Scheppele,-,14,3-5,2-3,0-0,0-1,1,0,2,0,0,1,8,Cal Maritime,11/15/24
34,Shakia Teague-perry,-,9,3-3,0-0,1-2,1-0,1,0,0,0,0,0,7,Cal Maritime,11/15/24
13,Keeley Wright,-,19,1-3,0-0,2-6,2-5,7,3,4,4,0,1,4,Cal Maritime,11/15/24
32,Eliza Digiulio,-,19,1-5,0-1,2-2,2-4,6,0,2,0,1,0,4,Cal Maritime,11/15/24
21,Jenika Zurita,-,11,1-3,1-3,0-0,0-2,2,0,2,2,0,0,3,Cal Maritime,11/15/24
24,Ali Stevens,-,6,1-5,0-0,0-0,1-1,2,0,0,1,0,2,2,Cal Maritime,11/15/24
20,Morgan Baird,*,24,12-19,0-1,4-4,1-5,6,0,4,1,0,0,28,UC Merced,03/14/25
1,Meghan McIntyre,*,26,5-10,1-2,1-2,2-5,7,2,8,2,0,5,12,UC Merced,03/14/25
12,Emma Schmerbach,*,27,3-9,0-1,0-0,2-2,4,3,4,2,1,6,6,UC Merced,03/14/25
10,Bridgette McIntyre,*,26,2-8,0-5,0-0,1-2,3,0,3,1,0,1,4,UC Merced,03/14/25
23,Clara Robbins,*,16,0-0,0-0,0-0,1-8,9,1,0,0,1,0,0,UC Merced,03/14/25
22,Sierra Scheppele,-,20,5-6,4-5,0-0,1-1,2,1,1,1,0,0,14,UC Merced,03/14/25
32,Eliza DiGiulio,-,13,5-5,1-1,0-1,0-2,2,1,0,1,0,0,11,UC Merced,03/14/25
33,Mallory Williams,-,15,2-5,2-4,2-2,2-4,6,0,1,1,0,1,8,UC Merced,03/14/25
21,Jenika Zurita,-,3,1-1,1-1,0-0,0-0,0,0,0,0,0,1,3,UC Merced,03/14/25
13,Keeley Wright,-,15,0-3,0-0,0-0,0-0,0,0,3,1,0,0,0,UC Merced,03/14/25
5,Makayla Scurlock,-,10,0-3,0-1,0-0,0-0,0,1,2,1,1,0,0,UC Merced,03/14/25
34,Shakia Teague-Perry,-,3,0-1,0-0,0-0,0-1,1,0,0,0,2,0,0,UC Merced,03/14/25
24,Ali Stevens,-,2,0-0,0-0,0-0,1-1,2,0,1,0,0,1,0,UC Merced,03/14/25
12,Emma Schmerbach,*,27,8-13,1-1,0-1,4-4,8,4,3,2,2,4,17,Wayland Baptist (TX),03/15/25
10,Bridgette McIntyre,*,30,4-8,4-7,3-3,0-3,3,2,1,2,0,0,15,Wayland Baptist (TX),03/15/25
1,Meghan McIntyre,*,33,4-10,0-2,2-2,0-4,4,0,6,5,0,3,10,Wayland Baptist (TX),03/15/25
20,Morgan Baird,*,23,4-7,0-1,0-0,3-2,5,3,4,1,0,0,8,Wayland Baptist (TX),03/15/25
23,Clara Robbins,*,18,1-4,0-0,0-0,0-9,9,3,0,3,5,1,2,Wayland Baptist (TX),03/15/25
32,Eliza DiGiulio,-,14,4-8,0-2,0-0,1-0,1,3,1,3,0,0,8,Wayland Baptist (TX),03/15/25
33,Mallory Williams,-,14,3-6,2-5,0-0,2-3,5,1,0,0,0,0,8,Wayland Baptist (TX),03/15/25
22,Sierra Scheppele,-,19,2-4,2-4,0-0,0-1,1,0,2,0,0,1,6,Wayland Baptist (TX),03/15/25
5,Makayla Scurlock,-,9,1-2,0-0,0-0,0-1,1,1,1,2,0,1,2,Wayland Baptist (TX),03/15/25
13,Keeley Wright,-,8,1-2,0-0,0-0,1-1,2,0,0,1,0,1,2,Wayland Baptist (TX),03/15/25
24,Ali Stevens,-,2,0-1,0-0,0-0,0-2,2,0,0,0,0,0,0,Wayland Baptist (TX),03/15/25
34,Shakia Teague-Perry,-,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Wayland Baptist (TX),03/15/25
21,Jenika Zurita,-,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Wayland Baptist (TX),03/15/25
1,Meghan McIntyre,*,36,5-14,2-3,2-3,2-8,10,1,7,7,0,4,14,Dakota State (SD),11/01/24
20,Morgan Baird,*,23,7-17,0-0,0-0,2-3,5,3,0,1,0,0,14,Dakota State (SD),11/01/24
10,Bridgette McIntyre,*,34,3-10,3-9,3-3,0-1,1,2,3,2,0,1,12,Dakota State (SD),11/01/24
12,Emma Schmerbach,*,22,3-4,0-0,1-4,0-4,4,4,1,3,0,0,7,Dakota State (SD),11/01/24
23,Clara Robbins,*,22,2-3,0-0,2-2,2-6,8,5,1,1,0,2,6,Dakota State (SD),11/01/24
32,Eliza DiGiulio,-,20,4-9,0-1,2-4,0-1,1,1,0,0,1,1,10,Dakota State (SD),11/01/24
22,Sierra Scheppele,-,19,2-6,2-6,0-0,2-0,2,2,2,1,0,2,6,Dakota State (SD),11/01/24
13,Keeley Wright,-,6,0-1,0-0,1-2,0-0,0,1,2,0,0,0,1,Dakota State (SD),11/01/24
34,Shakia Teague-Perry,-,8,0-1,0-0,0-0,2-0,2,0,3,0,0,1,0,Dakota State (SD),11/01/24
21,Jenika Zurita,-,7,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Dakota State (SD),11/01/24
33,Mallory Williams,-,4,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Dakota State (SD),11/01/24
20,Morgan Baird,*,29,6-9,1-2,1-1,1-4,5,1,1,2,0,1,14,College of Idaho,01/25/25
10,Bridgette McIntyre,*,32,3-6,2-4,5-7,0-5,5,1,2,0,0,0,13,College of Idaho,01/25/25
12,Emma Schmerbach,*,31,3-13,0-2,4-4,1-5,6,3,3,1,0,1,10,College of Idaho,01/25/25
1,Meghan McIntyre,*,32,3-9,0-2,2-2,0-3,3,0,2,2,2,2,8,College of Idaho,01/25/25
23,Clara Robbins,*,19,1-3,0-0,0-0,1-3,4,3,1,0,2,1,2,College of Idaho,01/25/25
33,Mallory Williams,-,15,2-3,2-2,0-0,1-3,4,0,0,0,0,0,6,College of Idaho,01/25/25
32,Eliza DiGiulio,-,16,1-5,1-3,0-0,0-1,1,0,1,1,2,0,3,College of Idaho,01/25/25
13,Keeley Wright,-,9,1-2,0-0,0-0,0-0,0,0,1,0,0,0,2,College of Idaho,01/25/25
5,Makayla Scurlock,-,9,0-2,0-1,0-0,1-2,3,1,0,0,0,0,0,College of Idaho,01/25/25
22,Sierra Scheppele,-,8,0-2,0-0,0-0,0-0,0,0,0,0,0,0,0,College of Idaho,01/25/25
20,Morgan Baird,*,25,10-14,1-2,1-2,1-2,3,2,2,2,0,1,22,Northwest,01/31/25
1,Meghan McIntyre,*,28,6-9,0-1,3-4,1-2,3,2,4,2,0,3,15,Northwest,01/31/25
12,Emma Schmerbach,*,27,5-9,0-1,0-0,1-5,6,2,0,4,0,2,10,Northwest,01/31/25
23,Clara Robbins,*,21,2-3,0-0,0-0,2-2,4,1,1,0,2,1,4,Northwest,01/31/25
10,Bridgette McIntyre,*,24,1-5,1-4,0-0,0-2,2,2,0,2,0,1,3,Northwest,01/31/25
32,Eliza DiGiulio,-,16,5-11,0-2,4-5,6-3,9,0,1,1,1,1,14,Northwest,01/31/25
13,Keeley Wright,-,11,2-4,0-0,2-6,0-2,2,2,0,0,0,0,6,Northwest,01/31/25
22,Sierra Scheppele,-,19,1-3,1-3,0-0,0-2,2,0,0,0,0,2,3,Northwest,01/31/25
33,Mallory Williams,-,16,0-2,0-1,2-2,0-3,3,1,0,0,0,0,2,Northwest,01/31/25
5,Makayla Scurlock,-,11,0-0,0-0,0-0,0-0,0,1,1,1,0,2,0,Northwest,01/31/25
21,Jenika Zurita,-,2,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Northwest,01/31/25
20,Morgan Baird,*,30,7-12,0-2,2-3,2-3,5,1,5,4,1,2,16,Eastern Oregon,01/24/25
1,Meghan McIntyre,*,35,4-10,0-0,6-9,1-2,3,1,3,1,0,4,14,Eastern Oregon,01/24/25
10,Bridgette McIntyre,*,32,4-7,3-3,0-0,0-1,1,3,0,1,0,2,11,Eastern Oregon,01/24/25
12,Emma Schmerbach,*,27,5-9,0-1,0-2,2-3,5,5,2,3,2,2,10,Eastern Oregon,01/24/25
23,Clara Robbins,*,16,1-4,0-0,0-0,0-4,4,3,0,1,0,1,2,Eastern Oregon,01/24/25
5,Makayla Scurlock,-,20,2-3,0-1,0-0,0-3,3,1,0,0,0,1,4,Eastern Oregon,01/24/25
33,Mallory Williams,-,14,2-4,0-1,0-0,0-4,4,1,0,0,1,0,4,Eastern Oregon,01/24/25
32,Eliza DiGiulio,-,9,1-2,0-0,2-2,0-0,0,3,0,0,0,0,4,Eastern Oregon,01/24/25
13,Keeley Wright,-,6,0-0,0-0,2-2,0-0,0,0,0,4,0,0,2,Eastern Oregon,01/24/25
22,Sierra Scheppele,-,11,0-1,0-1,0-0,0-0,0,0,2,0,0,0,0,Eastern Oregon,01/24/25
20,Morgan Baird,*,21,7-13,0-0,5-5,1-5,6,2,2,2,1,0,19,Walla Walla,01/18/25
12,Emma Schmerbach,*,21,4-8,0-0,0-0,4-2,6,3,4,1,2,2,8,Walla Walla,01/18/25
10,Bridgette McIntyre,*,24,2-6,1-4,2-2,0-4,4,1,0,2,0,1,7,Walla Walla,01/18/25
1,Meghan McIntyre,*,20,1-4,0-0,1-2,1-3,4,3,4,4,0,0,3,Walla Walla,01/18/25
23,Clara Robbins,*,20,1-2,0-0,0-0,1-4,5,0,0,1,4,1,2,Walla Walla,01/18/25
32,Eliza DiGiulio,-,20,7-10,1-2,0-0,1-1,2,0,1,0,0,0,15,Walla Walla,01/18/25
22,Sierra Scheppele,-,11,3-4,3-4,2-2,0-2,2,2,1,1,0,0,11,Walla Walla,01/18/25
33,Mallory Williams,-,19,3-7,3-6,0-0,0-6,6,2,1,0,1,0,9,Walla Walla,01/18/25
5,Makayla Scurlock,-,16,2-3,1-2,1-1,0-3,3,0,2,0,0,2,6,Walla Walla,01/18/25
13,Keeley Wright,-,20,2-3,0-0,1-1,0-2,2,1,7,2,0,2,5,Walla Walla,01/18/25
24,Ali Stevens,-,2,1-1,0-0,0-0,0-0,0,0,0,1,0,1,2,Walla Walla,01/18/25
21,Jenika Zurita,-,6,0-0,0-0,0-0,0-1,1,1,0,0,0,1,0,Walla Walla,01/18/25
12,Emma Schmerbach,*,28,9-19,2-4,4-7,4-2,6,1,0,4,2,3,24,Concordia (NE),11/02/24
01,Meghan McIntyre,*,31,3-9,0-0,4-6,0-3,3,4,4,3,0,3,10,Concordia (NE),11/02/24
10,Bridgette McIntyre,*,33,2-11,2-10,0-0,0-2,2,1,1,1,0,0,6,Concordia (NE),11/02/24
20,Morgan Baird,*,18,2-2,0-0,0-1,0-2,2,3,2,2,1,0,4,Concordia (NE),11/02/24
23,Clara Robbins,*,26,1-3,0-1,0-0,3-4,7,3,0,0,0,0,2,Concordia (NE),11/02/24
22,Sierra Scheppele,-,23,4-6,4-6,0-0,1-0,1,1,0,0,0,1,12,Concordia (NE),11/02/24
32,Eliza DiGiulio,-,21,2-5,0-1,3-3,1-3,4,3,0,0,1,0,7,Concordia (NE),11/02/24
13,Keeley Wright,-,11,2-4,0-0,2-2,1-0,1,4,0,1,0,0,6,Concordia (NE),11/02/24
34,Shakia Teague-Perry,-,5,0-0,0-0,0-1,0-0,0,0,0,1,0,0,0,Concordia (NE),11/02/24
21,Jenika Zurita,-,2,0-1,0-1,0-0,0-0,0,2,0,0,0,0,0,Concordia (NE),11/02/24
33,Mallory Williams,-,2,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Concordia (NE),11/02/24
